IATA,Terminal
KIA,Kiwi International Air Lines
KNA,Knight Air
KHX,Knighthawk Express
KGT,Knights Airlines
KOA,Koanda Avacion
OYE,Koda International
KGL,Kogalymavia Air Company
KOM,Kom Activity
KMA,Komiaviatrans State Air Enterprise
KMV,Komiinteravia
KNM,Komsomolsk-on-Amur Air Enterprise
KOB,Koob-Corp - 96 KFT
KAL,Korean Air
KMG,Kosmas Air
KSM,Kosmos
KOS,Kosova Airlines
WOK,Kovar Air
KJC,Krasnojarsky Airlines
KFC,Kremenchuk Flight College
KRG,Krimaviamontag
KRO,Kroonk Air Agency
KRI,Krylo Airlines
KYM,Krym
OPC,Krystel Air Charter
KIL,Kuban Airlines
KPA,Kunpeng Airlines
KZA,Kurzemes Avio
KBV,Kustbevakningen
KAC,Kuwait Airways
KZU,Kuzu Airlines Cargo
QVR,Kvadro Aero
KWN,Kwena Air
KGZ,Kyrgyz Airlines
KTC,Kyrgyz Trans Avia
LYN,Kyrgyzstan
KGA,Kyrgyzstan Airlines
DAM,Kyrgyzstan Department of Aviation
KGB,Kyrgz General Aviation
KYV,Kibris T
LAH,L A Helicopter
LJY,L J Aviation
LRB,L R Airlines
PHO,L&L Flygbildteknik
LEX,L'Express
FNT,L-3 Communications Flight Internation Aviation
LAB,L.A.B. Flying Service
LRC,LACSA
LDE,LADE - Lineas Aereas Del Estado
BNX,LAI - Linea Aerea IAACA
LAN,LAN Airlines
DSM,LAN Argentina
LCO,LAN Cargo
LNC,LAN Dominica
LXP,LAN Express
LPE,LAN Peru
LSA,LANSA
APT,LAP Colombia - Lineas Aereas Petroleras
OTN,LASTP
LCB,LC Busre
LOT,LOT Polish Airlines
LTE,LTE International Airways
LTO,LTU Austria
LTU,LTU International
JFC,LTV Jet Fleet Corporation
LUK,LUKoil-Avia
ASK,La Ronge Aviation Services
LVT,La Valenciana Taxi Aereo
SKQ,Labcorp
LAL,Labrador Airways
JEV,Lagun Air
HCA,Lake Havasu Air Service
LKL,Lakeland Aviation
LKR,Laker Airways
LBH,Laker Airways (Bahamas)
LMR,Lamra
TCR,Lanaes Aereas Trans Costa Rica
ISL,Landsflug
PAP,Langtry Flying Group
LKN,Lankair
LZA,Lanza Air
LZT,Lanzarote Aerocargo
LLL,Lao Air Company
LAO,Lao Airlines
LKA,Lao Capricorn Air
LPN,Laoag International Airlines
LRD,Laredo Air
LTC,LatCharter
LAF,Latvian Air Force
LDA,Lauda Air
LDI,Lauda Air Italy
LEP,Laughlin Express
LSU,Laus
LAR,Lawrence Aviation
LAY,Layang-Layang Aerospace
LPL,Lease-a-Plane International
LAQ,Lebanese Air Transport
LAT,Lebanese Air Transport (Charter)
LAD,Lebanon Airport Development Corporation
LCA,Leconte Airlines
LIA,Leeward Islands Air Transport
LGD,Legend Airlines
LWD,Leisure Air
LEN,Lentini Aviation
LOR,Leo-Air
LEL,Leonsa De Aviacion
LYW,Libyan Airlines
LAA,Libyan Arab Airlines
LCR,Libyan Arab Air Cargo
LIQ,Lid Air
LCG,Lignes Aeriennes Congolaises
LKD,Lignes Aeriennes Du Tchad
LME,Lignes Mauritaniennes Air Express
GCB,Lignes Nationales Aeriennes - Linacongo
GDQ,Lincoln Air National Guard
LRT,Lincoln Airlines
LSY,Lindsay Aviation
NOT,Linea Aerea Costa Norte
LMC,Linea Aerea Mexicana de Carga
LNP,Linea Aerea SAPSA
NEG,Linea Aerea de Fumig Aguas Negras
LER,Linea Aerea de Servicio Ejecutivo Regional
LSE,Linea De Aeroservicios
TUY,Linea Turistica Aerotuy
ALR,Lineas Aereas Alaire S.L.
LCD,Lineas Aereas Azteca
LCN,Lineas Aereas Canedo LAC
LCM,Lineas Aereas Comerciales
EDD,Lineas Aereas Ejectuivas De Durango
EDR,Lineas Aereas Eldorado
FED,Lineas Aereas Federales
LMN,Lineas Aereas Monarca
LIJ,Lineas Aereas San Jose
UMA,Lineas Aereas del Humaya
LEC,Linex
SMS,Linhas Aereas Santomenses
LAM,Linhas A
LAW,Link Airways of Australia
WGT,Lion Air Services
LNI,Lion Mentari Airlines
LEU,Lions-Air
LYF,Lithuanian Air Force
LRA,Little Red Air Service
LVG,Livingston
LLB,Lloyd Aereo Boliviano
LNA,Lnair Air Services
XLG,Lockheed Air Terminal
LAC,Lockeed Aircraft Corporation
XDD,Lockheed DUATS
CBD,Lockheed Martin Aeronautics
LNG,Lockheed Martin Aeronautics Company
LOG,Logan Air
CLV,Lom Praha Flying School
LMS,Lomas Helicopters
LCY,London City Airport Jet Centre
LNX,London Executive Aviation
LOV,London Flight Centre (Stansted)
LHC,London Helicopter Centres
LSS,Lone Star Airlines
ORA,Long Island Airlines
LGT,Longtail Aviation
LRR,Lorraine Aviation
LSC,Los Cedros Aviacion
TAS,Lotus Air
LTW,Luchtvaartmaatschappij Twente
LKE,Lucky Air
LUT,Luft Carago
LVD,Luftfahrt-Vermietungs-Dienst
LGW,Luftfahrtgesellschaft Walter
DLH,Lufthansa
GEC,Lufthansa Cargo
CLH,Lufthansa CityLine
,Lufthansa Systems
LHT,Lufthansa Technik
LTF,Lufttaxi Fluggesellschaft
LTR,Lufttransport
LHS,Luhansk
UNY,Lund University School of Aviation
LGL,Luxair
LXA,Luxaviation
LUV,Luxembourg Air Rescue
LFE,Luxflight Executive
LXO,Luxor Air
LUZ,Luzair
UKW,Lviv Airlines
LYD,Lydd Air
LCH,Lynch Flying Service
LYC,Lynden Air Cargo
LXF,Lynx Air International
LYX,Lynx Aviation
LPR,L
LAU,L
JNH,M & N Aviation
MCF,MAC Fotografica
MRG,MANAG'AIR
MPJ,MAP-Management and Planung
TFG,MAS Airways
MAA,MasAir
MAK,MAT Macedonian Airlines
MCC,MCC Aviation
MGA,MG Aviacion
JLA,MIA Airlines
MGL,MIAT Mongolian Airlines
MNC,MIT Airlines
MKA,MK Airline
MNB,MNG Airlines
EBF,MSR Flug-Charter
MCV,MTC Aviacion
MAQ,Mac Aviation
MCN,Mac Dan Aviation Corporation
MTD,MacKnight Airlines
MCK,Macair Airlines
MCS,Macedonian Airlines
MDH,Madina Air
,Maersk
MJB,Magic Blue Airlines
MGR,Magna Air
MLH,Mahalo Air
IRM,Mahan Air
MZS,Mahfooz Aviation
MAT,Maine Aviation
MAJ,Majestic Airlines
AKM,Mak Air
MLG,Malagasy Airlines
MLX,Malawi Express
MKK,Malaya Aviatsia Dona
MAS,Malaysia Airlines
MAE,Mali Air
VXP,Mali Air Express
MTZ,Mali Airways
MLC,Malila Airlift
MLS,Mall Airways
SCW,Malmo Aviation
LOD,Malmoe Air Taxi
SCW,Malmö Aviation
MAC,Malta Air Charter
MWS,Malta Wings
MAH,Malév
MLB,Manaf International Airways
MDL,Mandala Airlines
MDA,Mandarin Airlines
MNO,Mango
MHN,Manhattan Air
MTO,Manitoulin Air Services
MNR,Mann Air
MAN,Mannion Air Charter
MTS,Mantrust Asahi Airways
MNX,Manx Airlines
MAD,Maple Air Services
MAR,March Helicopters
MCP,Marcopolo Airways
MGI,Marghi Air
MRK,Markair
MKO,Markoss Aviation
MRW,Mars RK
MCE,Marshall Aerospace
MSL,Marsland Aviation
XMA,Martin Aviation Services
MBE,Martin-Baker
MPH,Martinair
MRA,Martinaire
MFA,Martyn Fiddler Associates
MVN,Marvin Limited
TRP,Maryland State Police
MTH,Massachusetts Institute of Technology
MSY,Massey University School of Aviation
MSW,Master Airways
MPL,Master Planner
LMJ,Masterjet
,Mastertop Linhas Aereas
MIA,Mauria
MNV,Mauritanienne Aerienne Et Navale
MRF,Mauritanienne Air Fret
MWY,Mauritanienne Airways
MDE,Mauritanienne De Transport Aerien
MVR,Maverick Airways
MVL,Mavial Magadan Airlines
MAI,Max Avia
MSF,Max Sea Food
MAX,Max-Aviation
MXL,Maxair
MXU,Maximus Air Cargo
MXJ,Maxjet Airways
MXS,Maxsus-Avia
MXP,May Air Xpress
MYD,Maya Island Air
MYI,Mayair
MBS,Mbach Air
MCH,McAlpine Helicopters
MKL,McCall Aviation
DAC,McDonnell Douglas
MDS,McNeely Charter Services
MEK,Med-Trans of Florida
MDM,Medavia Company
MRZ,Medical Air Rescue Services
MCL,Medical Aviation Services
MDF,Mediterranean Air Freight
MDY,Mediterranean Airways
MEJ,Medjet International
MGK,Mega
MEL,Mega Linhas Aereas
MKN,Mekong Airlines
MNJ,Menajet
MXX,Merchant Express Aviation
MEC,Mercury Aircourier Service
POV,Meridian
MRD,Meridian Air Cargo
MHL,Meridian Airlines
DSL,Meridian Aviation
MEM,Meridian Limited
ISS,Meridiana
MEI,Merlin Airways
MNA,Merpati Nusantara Airlines
ASH,Mesa Airlines
MES,Mesaba Airlines
MSQ,Meta Linhas A
MET,Meteorological Research Flight
MER,Methow Aviation
MVI,Metro Business Aviation
MEX,Metro Express
MTR,Metroflight
MTJ,Metrojet
PIX,Metropix UK
MPS,Metroplis
MXB,Mex Blue
MJT,Mex-Jet
MXA,Mexicana de Aviaci
MXT,Mexico Transportes Aereos
HUR,Miami Air Charter
BSK,Miami Air International
OWL,Miami Valley Aviation
MPT,Miapet-Avia
BIB,Michelin Air Services
WIZ,Micromatter Technology Solutions
NYL,Mid Airlines
MPA,Mid-Pacific Airlines
MJR,Midamerica Jet
MEA,Middle East Airlines
MID,Midland Airport Services
MFR,Midline Air Freight
MIS,Midstate Airlines
MDW,Midway Airlines
FLA,Midway Express
FAX,Midwest Air Freighters
MEP,Midwest Airlines
MWA,Midwest Airlines (Egypt)
NIT,Midwest Aviation
MWT,Midwest Aviation Division
HTE,Midwest Helicopters De Mexico
MAB,Millardair
RJM,Millen Corporation
MLK,Millennium Air
MFS,Miller Flying Services
OXO,Million Air
MIM,Mimino
NAB,Mina Airline Company
OMR,Minair
EBE,Minebea Technologies
MAZ,Mines Air Services Zambia
MNL,Miniliner
MNS,Ministic Air
WDG,Ministry of Agriculture
LIR,Minsk Aircraft Overhaul Plant
MIR,Miramichi Air Service
MIF,Miras
MOS,Misr Overseas Airways
MAF,Mission Aviation Fellowship
MSN,Missionair
MRN,Missions Gouvernemtales Francaises
BDG,Mississippi State University
MVA,Mississippi Valley Airways
MSA,Mistral Air
MBO,Mobil Oil
MXE,Mocambique Expresso
MFZ,Mofaz Air
MLE,Moldaeroservice
MDV,Moldavian Airlines
MVG,Moldova
RRV,Mombasa Air Safari
MON,Monarch Airlines
MNH,Monarch Airlines
,Myway Airlines
MFC,Moncton Flying Club
MDB,Monde Air Charters
MTI,Monerrey Air Taxi
MKY,Monky Aerotaxis
MGX,Montenegro Airlines
MNT,Montserrat Airways
MNY,Mooney Aircraft Corporation
MAL,Morningstar Air Express
MSS,Morris Air Service
MRO,Morrison Flying Service
GAI,Moskovia Airlines
MPI,Mosphil Aero
MSI,Motor Sich
NZM,Mount Cook Airlines
MTN,Mountain Air Cargo
MTC,Mountain Air Company
PKP,Mountain Air Express
BRR,Mountain Air Service
MBI,Mountain Bird
MHA,Mountain High Aviation
MPC,Mountain Pacific Air
MTV,Mountain Valley Air Service
MOW,Mowhawk Airlines
MDN,Mudan Airlines
CMJ,Mudanjiang General Aviation
MTX,Multi Taxi
WBR,Multi-Aero
MFT,Multiflight
MNZ,Murmansk Aircompany
MUA,Murray Air
MMR,Musrata Air Transport
MAW,Mustique Airways
MYW,My Way Airlines
MYT,MyTravel Airways
UBA,Myanma Airways
MMM,Myanmar Airways International
MYA,Myflug
VKG,Mytravel Airways
NLG,NEL Cargo
NHG,NHT Lineas Aereas
WAR,NZ Warbirds Association
ANL,Nacoia Lda
NHZ,Nada Air Service
BFN,Compangnie Nationale Naganagani
NAH,Nahanni Air Services Ltd
NKL,Nakheel Aviation
MRE,Namibia Commerical Aviation
NDF,Namibian Defence Force
CNJ,Nanjing Airlines
ACK,Nantucket Airlines
NYA,Nanyah Aviation
NAP,Napier Air Service Inc
NCM,Nas Air
,Nas Air
NAS,Nasair
NJC,Nashville Jet Charters
NCO,Natalco Air Lines
NTK,Natioanl Air Traffic Controllers Association
NSR,National Air Charter
RFI,National Air Traffic Services
NAN,National Airlines
NCN,National Airlines
ROK,National Airlines
NAL,National Airlines
KUS,National Airlines
,National Airways Cameroon
LFI,National Airways Corporation
GTY,National Aviation Company
TNC,National Aviation Consultants
NXT,National Express
GRD,National Grid
JTE,National Jet Express
AND,National Jet Service
NJS,National Jet Systems
NAA,National Oceanic and Atmospheric Administration
NOL,National Overseas Airlines Company
NLS,Nationale Luchtvaartschool
NAE,Nations Air Express Inc
NTW,Nationwide Airlines
NWZ,Nationwide Airlines (Zambia)
EVM,Natural Environment Research Council
NRR,Natureair
NRK,Naturelink Charter
RON,Nauru Air Corporation
NVC,NAV CANADA
NAV,Nav Flight Planning
NVP,Navegacao Aerea De Portugal
NAY,Navegacion Servicios Aereos Canarios SA
IRI,Navid
NVM,Naviera Mexicana
NVL,Navigator Airlines
XNV,Navinc Airlines Services
,Navitaire
XNS,Navtech System Support
NZA,Nayzak Air Transport
NEB,State of Nebraska
NEC,Necon Air
NCG,Nederlandse Kustwacht
NFT,Nefteyugansk Aviation Division
NLA,Neiltown Air
NLC,Nelair Charters
CGE,Nelson Aviation College
RNA,Nepal Airlines
NOS,Neos
TOX,Neosiam Airways
NSL,Neric
EJA,NetJets
NET,Network Aviation Services
NEZ,New England Air Express
NEA,New England Airlines
NHT,New Heights 291
NWD,New World Jet Corporation
NYH,New York Helicopter
GRY,New York State Police
KRC,New Zealand Air Defence Force
HVA,Newair
NLT,Newfoundland Labrador Air Transport
NTJ,NextJet
NXF,Nextflight Aviation
NXS,Nexus Aviation
NIS,Nicaraguense De Aviacion
NCN,Nicon Airways
NGA,Nigeria Airways
NGR,Nigerian Air Force
NGX,Nigerian Global
EXT,Night Express
NLY,Niki
NKV,Nikolaev-Air
NSA,Nile Safaris Aviation
NVA,Nile Valley Aviation Company
NLW,Nile Wings Aviation Services
NBS,Nimbus Aviation
NCA,Nippon Cargo Airlines
NVK,Nizhnevartovskavia
SRG,Search and Rescue 202
SRD,Search and Rescue 22
NOH,No. 32 (The Royal) Squadron RAF
AKG,84 Squadron Royal Air Force @ RAF Akrotiri
NBL,Nobil Air
NOK,Nok Air
NRL,Nolinor Aviation
NMD,Nomad Aviation
NOC,Norcopter
NEF,Nord-Flyg
NES,Nordeste Linhas Aereas Regionais
NRD,Nordic Regional
NVD,Nordic Solutions
NDS,Nordstree (Australia)
NRT,Norestair
NCF,Norfolk County Flight College
NOA,Norontair
HMF,Norrlandsflyg
NRX,Norse Air Charter
NIR,Norsk Flyrjeneste
NOR,Norsk Helikopter
DOC,Norsk Luftambulanse
RTV,Nortavia
NAI,North Adria Aviation
NTM,North American Airlines
HMR,North American Charters
NAJ,North American Jet Charter Group
NAT,North Atlantic Air Inc
NFC,North Atlantic Cargo
NBN,North British Airlines
NCB,North Caribou Flying Service Ltd
NCC,North Coast Air Services Ltd
,North Coast Aviation
NFA,North Flying
NRC,North Sea Airways
SBX,North Star Air Cargo
NRV,North Vancouver Airlines
NWW,North West Airlines
PTO,North West Geomatics
NEN,North-East Airlines
VBG,North-West Air Transport Company - Vyborg
NWL,North-Wright Airways
NLL,Northafrican Air Transport
NFL,Northaire Feight Lines
NSF,Northamptonshire School of Flying
NCE,Northcoast Executive Airlines
NEE,Northeast Airlines
NPX,Northeast Aviation
NAC,Northern Air Cargo
BYC,Northern Airlines Sanya
NDA,Northern Airways
CMU,Northern Aviation Service
,Northern Dene Airways
NEX,Northern Executive Aviation
NIC,Northern Illinois Commuter
NTX,Northern Jet Management
NTA,Northern Thunderbird Air
KOE,Northland Aviation
NSS,Northstar Aviation
NHL,Northumbria Helicopters
NAL,Northway Aviation Ltd
NWE,Northwest Aero Associates
NWA,Northwest Airlines
NWR,Northwest Regional Airlines
NWT,Northwest Territorial Airways
PLR,Northwestern Air
NWN,Northwinds Northern
NAM,Nortland Air Manitoba
NAX,Norwegian Air Shuttle
TFN,Norwegian Aviation College
XNT,Notams International
LBT,Nouvel Air Tunisie
NOV,Nova Airline
PTR,Nova Scotia Department of Lands and Forests
NVR,Novair
NVG,Novogorod Air Enterprise
NSP,Novosibirsk Aircraft Repairing Plant
NBE,Novosibirsk Aviaenterprise
NPO,Novosibirsk Aviation Production Association
NOY,Noy Aviation
ACQ,Nuevo Continente
NHR,Nuevo Horizonte Internacional
NUN,Nunasi-Central Airlines
NIN,Nurman Avia Indopura
NYS,Nyasa Express
KNE,Nas Air
OCN,O Air
OCM,O'Connor Airlines
,OAG
JPA,OSACOM
OHK,Oasis Hong Kong Airlines
BCN,Ocean Air
VCX,Ocean Airlines
OCS,Ocean Sky (UK)
TUK,Ocean Wings Commuter Service
ONE,Oceanair
,Oceanic Airlines
ODS,Odessa Airlines
ODY,Odyssey International
FOC,Office Federal De'Aviation Civile
GBO,Ogooue Air Cargo
OKJ,Okada Airlines
OKP,Okapi Airways
OKA,Okay Airways
OKL,Oklahoma Department of Public Safety
OLX,Olimex Aerotaxi
KVK,Olimp Air
OAL,Olympic Airlines
OLY,Olympic Aviation
OMA,Oman Air
ORF,Oman Royal Flight
OAV,Omni - Aviacao e Tecnologia
OAE,Omni Air International
OMF,Omniflys
OMS,Omskavia Airline
ORL,On Air Limited
OTG,One Two Go Airlines
OTM,Onetime Airlines Zambia
MED,Ontario Ministry of Health
OHY,Onur Air
OPA,Opal Air
OSA,Open Sky Aviation
BOS,OpenSkies
ORR,Operadora Turistica Aurora
OLE,Operadora de Lineas Ejecutivas
OTP,Operadora de Transportes Aereos
OPV,Operadora de Veulos Ejectutivos
LLO,Operation Enduring Freedom
OAX,Operational Aviation Services
ORD,Orange Air Services
ORJ,Orange Air Sierra Leone
ORE,Orange Aviation
ORX,Orbit Express Airlines
ORK,Orca Air
BUE,Orebro Aviation
ORM,Orel State Air Enterprise
ORB,Orenburg Airlines
OTA,Organizacion De Transportes Aereos
OML,Organizacoes Mambra
OVV,Orient Air
OTR,Orient Airlines
ORN,Orient Airways
OEA,Orient Thai Airlines
NGK,Oriental Air Bridge
OAC,Oriental Airlines
OGN,Origin Pacific Airways
OED,Orion Air Charter
OIX,Orion-x
KOV,Orlan-2000
RNG,Ornage Aircraft Leasing
OAD,Orscom Tourist Installations Company
OSH,Osh Avia
OCO,Ostend Air College
OLT,Ostfriesische Lufttransport
FNL,Oulun Tilauslento
RON,Our Airline
OOT,Out Of The Blue Air Safaris
OLA,Overland Airways
OXE,Oxaero
WDK,Oxford Air Services
OAA,Oxley Aviation
OZR,Ozark Air Lines
OZJ,Ozjet Airlines
KTL,P & P Floss Pick Manufacturers
PCR,PAC Air
PNR,PAN Air
PBA,PB Air
PDQ,PDQ Air Charter
XAS,PHH Aviation System
PDG,PLM Dollar Group
PUA,PLUNA
PMT,PMTair
PRP,PRT Aviation
JIA,PSA Airlines
KST,PTL Luftfahrtunternehemen
WIS,Paccair
PCE,Pace Airlines
PAB,Pacific Air Boats
PRC,Pacific Air Charter
PCF,Pacific Air Express
PXP,Pacific Air Transport
PIC,Jetstar Pacific
PAK,Pacific Alaska Airlines
PCV,Pacific Aviation (Australia)
PCX,Pacific Aviation (United States)
PBN,Pacific Blue
PQA,Pacific Coast Airlines
PCO,Pacific Coastal Airline
PEC,Pacific East Asia Cargo Airlines
PFA,Pacific Flight Services
PIN,Pacific International Airlines
PSA,Pacific Island Aviation
PCJ,Pacific Jet
PPM,Pacific Pearl Airways
PAR,Pacific Rim Airways
PSX,Pacific Southwest Airlines
NMI,Pacific Wings
,Pacificair
PFR,Pacificair Airlines
RCY,Package Express
PAE,Paisajes Espanoles
PKW,Pak West Airlines
PIA,Pakistan International Airlines
PKR,Pakker Avio
LPA,Pal Aerolineas
PPC,Palau Asia Pacific Airlines
PTP,Palau Trans Pacific Airline
PNW,Palestinian Airlines
JSP,Palmer Aviation
PIR,Pamir Airways
PFN,Pan African Air Services
ODM,Pan African Airways
PAX,Pan Air
XPA,Pan Am Weather Systems
PWD,Pan Am World Airways
PAA,Pan American Airways
PAA,Pan American World Airways
PEA,Pan Europeenne Air Service
PHT,Pan Havacilik Ve Ticaret
PMA,Pan Malaysian Air Transport
PNC,Pan-Air
PNF,Panafrican Airways
PGI,Panagra Airways
PEI,Panamedia
PVI,Panavia
PNH,Panh
PHU,Pannon Air Service
PNM,Panorama
PAH,Panorama Air Tour
AFD,Panorama Flight Service
PTN,Pantanal Linhas Aéreas
HMP,Papair Terminal
PAI,Paradise Airways
PDI,Paradise Island Airways
PGX,Paragon Air Express
PGF,Paragon Global Flight Support
PRR,Paramount Airlines
PMW,Paramount Airways
APE,Parcel Express
IRE,Pariz Air
PRA,Pars Aviation Service
PST,Parsa
FAP,Parsons Airways Northern
PSC,Pascan Aviation
PTB,Passaredo Transportes Aereos
PTC,Patria Cargas Aereas
BYT,Patriot Aviation Limited
ETL,Patterson Aviation Company
PHE,Pawan Hans
IRP,Payam Air
KGC,Peach Air
PRL,Pearl Air
PBY,Pearl Air Services
HPA,Pearl Airways
PVU,Peau Vava%Gʻ%@u
PXA,Pecotox Air
PGT,Pegasus Airlines
PEV,Pegasus Aviation
,Pegasus Hava Tasimaciligi
HAK,Pegasus Helicopters
PDF,Pelican Air Services
PEX,Pelican Express
PAS,Pelita Air Service
PEM,Pem-Air
PDY,Pen-Avia
PEN,Peninsula Airways
PNE,Peninter Aerea
PCA,Penya De L'Aire
CVT,Peran
PCC,Perforadora Central
PAG,Perimeter Aviation
PGP,Perm Airlines
PPQ,Personas Y Pasquetes Por Air
FPR,Peruvian Air Force
INP,Peruvian Navy
PMX,Petroleos Mexicanos
PHM,Petroleum Helicopters
PHC,Petroleum Helicopters de Colombia
PTK,Petropavlovsk-Kamchatsk Air Enterprise
PTY,Petty Transport
PHV,Phenix Aviation
PMY,Phetchabun Airline
PAL,Philippine Airlines
PHI,Philips Aviation Services
BCH,Phillips Air
PDD,Phillips Alaska
PHL,Phillips Michigan City Flying Service
PHB,Phoebus Apollo Aviation
KZM,Phoebus Apolloa Zambia
PHA,Phoenix Air Group
PHN,Phoenix Air Lines
PAM,Phoenix Air Service
PPG,Phoenix Air Transport
WDY,Phoenix Airline Services
,Phoenix Airways
PHY,Phoenix Avia
PHG,Phoenix Aviation
XPX,Phoenix Flight Operations
VAP,Phuket Air
PDT,Piedmont Airlines (1948-1989)
PCH,Pilatus Flugzeugwerke
PLU,Pilatus PC-12 Center De Mexico
MKS,Pimichikamac Air
PNP,Pineapple Air
PIM,Pinframat
PCL,Pinnacle Air Group
FLG,Pinnacle Airlines
PIO,Pioneer Airlines
PER,Pioneers Limited
PRN,Pirinair Express
PLN,Planar
PMS,Planemaster Services
PLZ,Planet Airways
PYZ,Players Air
LIB,Ploizeihubschrauberstaffel Hamburg
PSF,Plymouth School of Flying
POC,Pocono Air Lines
PDA,Podilia-Avia
PAZ,Point Afrique Niger
RMI,Point Airlines
PAW,Pointair Burkina
PTS,Points of Call Airlines
PAC,Polar Air Cargo
PMO,Polar Airlines de Mexico
PSR,Polestar Aviation
POT,Polet
POF,Police Aux Frontiers
PLC,Police Aviation Services
PLF,Polish Air Force
PNY,Polish Navy
NRW,Polizeifliegerstaffel Nordrhein-Westfalen
PPH,Polizeihibschrauberstaffel Neidersachsen
PIK,Polizeihuberschrauberstaffel Sachsen-Anhalt
SRP,Polizeihubschrafterstaffel Rheinland-Pfalz
PBW,Polizeihubschrauberstaffel Baden-Wurtemberg
EDL,Polizeihubschrauberstaffel Bayern
PBB,Polizeihubschrauberstaffel Brandenburg
PHH,Polizeihubschrauberstaffel Hessen
PMV,Polizeihubschrauberstaffel Mecklenburg-Vorpommern
PHS,Polizeihubschrauberstaffel Sachsen
HBT,Polizeihubschrauberstaffel Thuringen
CUK,Polo Aviation
PLA,Polynesian Air-Ways
PAO,Polynesian Airlines
PLB,Polynesian Blue
,Polyot Sirena
PND,Pond Air Express
PSI,Pont International Airline Services
PLX,Pool Aviation
PTQ,Port Townsend Airways
POR,Porteadora De Cosola
POE,Porter Airlines
PGA,Portugalia
AFP,Portuguese Air Force
POA,Portuguese Army
PON,Portuguese Navy
PDC,Potomac Air
PSN,Potosina Del Aire
PWL,Powell Air
PFS,Prairie Flying Service
PWC,Pratt and Whitney Canada
PRF,Precision Air
PRE,Precision Airlines
BAT,Premiair
PGL,Premiair Aviation Services
PME,Premiair Fliyng Club
EMI,Premium Air Shuttle
PMU,Premium Aviation
BFA,Presidence Du Faso
ONM,Presidencia de La Republica de Guinea Ecuatorial
PSD,President Airlines
PRD,Presidential Aviation
PWA,Priester Aviation
PMM,Primair
WCP,Primaris Airlines
PMC,Primas Courier
CRY,Primavia Limited
PRM,Prime Air
PKZ,Prime Aviation
CME,Prince Edward Air
PJP,Princely Jets
,Princess Air
PCN,Princeton Aviation Corporation
PRY,Priority Air Charter
PAT,Priority Air Transport
BCK,Priority Aviation Company
PTI,Privatair
PJE,Private Jet Expeditions
PJA,Private Jet Management
PWF,Private Wings Flugcharter
PVG,Privilege Style L
PRH,Pro Air
PSZ,Pro Air Service
GIY,Probiz Guinee
PAD,Professional Express Courier Service
PVL,Professione VOlare
,Proflight Commuter Services
PTT,Promotora Industria Totolapa
PRO,Propair
PFZ,Propflight Air Services
PPA,Propheter Aviation
PTH,Proteus Helicopteres
PTL,Providence Airline
AWD,Providence Aviation Services
SPR,Provincial Airlines
PRV,Provincial Express
PSW,Pskovavia
UDA,Psudiklat Perhubungan Udara/PLP
PTA,Ptarmigan Airways
PSP,Publiservicios Aereos
PUV,Publivoo
PNG,Puerto Rico National Guard
TXV,Puerto Vallarta Taxi Aereo
PGH,Pulkovo Aircraft Services
PLY,Puma Linhas Aereas
PTV,Puntavia Air Services
MGO,Punto Fa
PYR,Pyramid Air Lines
QNT,Qanot Sharq
QFA,Qantas
QAC,Qatar Air Cargo
QTR,Qatar Airways
QAF,Qatar Amiri Flight
IRQ,Qeshm Air
QTX,Quantex Environmental
QUE,Quebec Government Air Service
QNA,Queen Air
LBQ,Quest Diagnostics
QAJ,Quick Air Jet Charter
QAH,Quick Airways Holland
QAS,Quisqueya Airlines
QAQ,Qurinea Air Service
QCC,Qwest Commuter Corporation
QWA,Qwestair
QWL,Qwila Air
RJT,RA Jet Aeroservicios
,RACSA
BKH,RAF Barkston Heath
CFN,Church Fenton Flying Training Unit
COH,Coltishall Flying Training Unit
CBY,Coningsby Flying Training Unit
COT,Cottesmore Flying Training Unit
CWL,Cranwell Flying Training Unit
KIN,Kinloss Flying Training Unit
LEE,Leeming Flying Training Unit
LCS,RAF Leuchars
LOP,Linton-on-Ouse Flying Training Unit
LOS,Lossiemouth Flying Training Unit
MRH,Marham Flying Training Unit
NWO,Northwood Headquarters (RAF
SMZ,RAF Scampton
STN,RAF St Athan
SMG,RAF St Mawgan Search and Rescue
TOF,RAF Topcliffe Flying Training Unit
VYT,RAF Valley Flying Training Unit
VLL,RAF Valley SAR Training Unit
WAD,Waddington FTU
WIT,Wittering FTU
MTL,RAF-Avia
RKM,RAK Airways
RWL,RWL Luftfahrtgesellschaft
RBB,Rabbit-Air
ACE,Race Cargo Airlines
GBR,Rader Aviation
,Radixx Solutions International
RAJ,Raji Airlines
RFA,Raleigh Flying Service
REX,Ram Air Freight
RMT,Ram Aircraft Corporation
PPK,Ramp 66
RGM,Rangemile Limited
MWR,Raslan Air Service
RAQ,Rath Aviaton
CSM,Ratkhan Air
RVR,Raven Air
RVN,Raven Air
REI,Ray Aviation
RYT,Raya Jet
RTN,Raytheon Aircraft Company
RCJ,Raytheon Corporate Jets
KSS,Raytheon Travel Air
RCB,Real Aero Club De Baleares
CDT,Real Aero Club de Reus-Costa Dorado
RCD,Real Aeroclub De Ternerife
RLV,Real Aviation
REB,Rebus
PSH,Red Aviation
RBN,Red Baron Aviation
DEV,Red Devils Parachute Display Team
RDV,Red Sea Aviation
RSV,Red Sky Ventures
STR,Red Star
